공고번호,회사명,공고제목,지역,경력,기술스택/분야
54059410,(주)씨티케이이비전글로벌네트웍스,(주)씨티케이이비전글로벌네트웍스 - 마케팅,서울 강남구,경력 3~10년,마케팅기획 / SI·시스템통합 / 솔루션업체 / 소프트웨어개발
54060863,(주)퓨처드라이브,자율주행 기술 리드(Engineering Lead / Tech Lead),대구 달성군,경력 5~15년,자율주행 / 풀스택 / 소프트웨어개발
54062096,(주)블루타일랩,(주)블루타일랩 전기 및 전장 설계 엔지니어 경력 채용 공고,경기 화성시 동탄구,경력 2~5년,전장설계 / 전기설계 / 솔루션업체
54044229,(주)팟콘커뮤니케이션,[주 33시간 근무] 자사 플랫폼 광고영업 채용,서울 구로구,신입·경력,광고영업 / 영업마케팅 / 매체영업
54055494,(주)캔코,CS 개통매니저  신입/경력 채용 (경력자 우대),부산 해운대구,경력무관,케이블설치 / 통신설계 / 정비기사
54057074,(주)비엠에프,주)비엠에프 의류 브랜드 마케팅MD 사원 모집,경기 양주시,경력1년↑,광고마케팅 / 기업홍보 / 상품관리
54049243,(주)엔씨에이아이,[NC-NC AI][단기계약직]  AI번역 인도네시아어 담당자 모집,경기 성남시 분당구,경력무관,AI(인공지능) / 소프트웨어개발
54048195,더화이트커뮤니케이션(주),[TWC] 온라인 쇼핑몰 웹디자이너 채용 (경력),서울 성동구,경력 3~5년,PhotoShop / 일러스트레이터 / 채널관리
54057794,(주)투비파트너즈,[중견 제조] 2차전지 전장/제어부 PM,경기 성남시 중원구,경력 4~12년,APM / 헤드헌팅
54058324,(주)에스와이컴퍼니,Kotlin 기반 Android 앱 개발자,광주 북구,경력 1~20년,앱개발 / Java / 반응형웹
54059314,(주)딜팩토리,[상암] (주)딜팩토리  숏폼 콘텐츠 마케터 경력(3년이상) 채용,서울 마포구,경력 3~7년,온라인마케팅 / 브랜드마케팅 / 인플루언서마케팅
54074402,(주)투비파트너즈,"[인재 채용]소프트웨어(S/W)설계(모터제어, 대리-차장급)",서울 금천구,경력 4~18년,S/W / 임베디드 / 펌웨어
54056715,(주)한국전자투표,전자투표 서비스 운영 및 마케팅 전문가,서울 영등포구,신입·경력,디지털마케팅 / 서비스운영 / 솔루션업체
54062697,(주)미드키스,PC  및 하드웨어 설치 구축 업무 경력/신입 모집,서울 강남구,경력무관,하드웨어 / 장비구축 / 유지보수
54074391,(주)투비파트너즈,"[인재 채용]소프트웨어(S/W)설계(선행설계, 대리-차장급)",서울 금천구,경력 4~15년,S/W / 임베디드 / 펌웨어
54057082,(주)비엠에프,(주)비엠에프 의류 브랜드 상품기획디자이너 경력 채용 공고(육아휴직 대체),경기 양주시,경력2년↑,의상디자인 / 전자상거래 / 쇼핑몰
