공고번호,회사명,공고제목,지역,경력,기술스택/분야
53985142,브레디스헬스케어,디지털헬스 데이터 플랫폼/인프라 운영,미지정,1 ~ 10년,Google Sheets / Linux / PostgreSQL / Python / Windows / REST API / AWS / QA / SQL / Network
54086572,혁산정보시스템,키오스크 프로그램 개발 및 운영,미지정,3 ~ 10년,Oracle / ERP / Delphi
53935961,링네트,Cisco 네트워크 필드 엔지니어(경력10↑),미지정,10 ~ 15년,Router / Sw<span>it</span>ch / Cisco / L2 / L3 / L4 / L7 / Network
53892606,오투플러스,개발PM,미지정,10 ~ 15년,Docker / Java / PHP / React / Redis Cloud
54088624,엘리스그룹,정보보호 담당자 경력 채용,미지정,2 ~ 20년,VPN / MachineLearning / AI/인공지능 / ISMS / Network / IPS
53991482,오픈엣지테크놀로지,[NPU] Application Engineer,미지정,2 ~ 15년,C / C++ / Python / PyTorch / TensorFlow / Verilog
53899844,에치에프알,"[경력] 중계기, RU설계, 개발 채용",미지정,1 ~ 20년,Python
53948041,바능,파이썬 개발자 구인(6~9년),미지정,6 ~ 9년,B<span>it</span>bucket / Django / G<span>it</span> / G<span>it</span>Lab / Kubernetes / PostgreSQL / Python / React / TypeScript / Airflow
54058415,엠투아이코퍼레이션,자율 주행 로봇(AMR) 제어 소프트웨어 개발 경력 채용,미지정,3 ~ 10년,C++ / Linux / Ubuntu / RTOS / ROS / Toolbox / PLC
54109816,나우디앤아이,DX팀 시스템운영 및 보안관리 사원 모집,미지정,3 ~ 10년,HTML5 / Java / JavaScript / MSSQL / PLC / SCADA
